"Ind","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","Year","FVeg","FT","BT","FertT","FlwrVeg","Weight","PropDam","OH","StemTotal"
"E1-156",8,"8-59",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",40,NA,NA,NA,NA,0.937043478260872,0,NA,1
"E1-157",12,"12-22",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",94.5,190,171,211,94,3.69704347826087,0.2,NA,5
"E1-158",15,"15-72",44.2915,-79.04909003,"ONBV","E1","Sprayed","2018",111.5,190,179,211,111.5,20.1770434782609,0.333333333333333,NA,6
"E1-159",6,"6-44",41.57154,-74.48428896,"NYWU","E1","Sprayed","2018",123,211,197,218,122.5,11.9170434782609,0,NA,5
"E1-16",6,"6-19",41.57154,-74.48428896,"NYWU","E1","Sprayed","2018",117,211,190,218,106.5,7.07704347826087,0.5,NA,4
"E1-160",2,"2-74",38.7966,-77.29988901,"VAFF","E1","Sprayed","2018",124,197,179,211,119,9.52704347826087,0.2,NA,5
"E1-161",10,"10-80",43.69717,-76.19529499,"NYLV","E1","Sprayed","2018",80,190,179,211,80,0.317043478260871,0.4,NA,5
"E1-162",2,"2-46",38.7966,-77.29988901,"VAFF","E1","Sprayed","2018",103,211,197,218,101,0.397043478260869,0.333333333333333,NA,3
"E1-163",18,"18-50",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",84.5,179,171,211,86,8.29704347826087,0,NA,4
"E1-164",10,"10-76",43.69717,-76.19529499,"NYLV","E1","Sprayed","2018",97,232,211,NA,97,0.53704347826087,0,NA,3
"E1-165",16,"16-70",44.75284,-79.33799797,"ONWA","E1","Sprayed","2018",96.5,184,171,211,98,9.38704347826087,0,NA,5
"E1-166",8,"8-12",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",107,211,184,211,105,4.16704347826087,0,NA,8
"E1-167",3,"3-53",40.23327,-77.280415,"PAOL","E1","Sprayed","2018",94,232,211,NA,94,NA,0.5,NA,2
"E1-168",8,"8-75",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",125.5,184,171,211,127,25.9670434782609,0.142857142857143,NA,7
"E1-169",2,"2-21",38.7966,-77.29988901,"VAFF","E1","Sprayed","2018",117.5,190,171,211,119,7.69704347826087,0,NA,7
"E1-17",14,"14-20",44.29771,-78.300041,"ONPB","E1","Sprayed","2018",93,184,179,211,95.5,7.72704347826087,0.4,NA,5
"E1-170",10,"10-54",43.69717,-76.19529499,"NYLV","E1","Sprayed","2018",106,184,171,211,108.5,12.2870434782609,0,NA,4
"E1-171",3,"3-46",40.23327,-77.280415,"PAOL","E1","Sprayed","2018",93.5,211,190,218,91,NA,0.5,NA,2
"E1-172",4,"4-64",40.06813,-76.90717204,"PAGP","E1","Sprayed","2018",87.5,190,179,211,88,15.3670434782609,0.333333333333333,NA,6
"E1-173",16,"16-52",44.75284,-79.33799797,"ONWA","E1","Sprayed","2018",107,179,171,211,108.5,23.7270434782609,0.125,NA,8
"E1-174",8,"8-55",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",103,230,197,NA,102,4.44704347826087,0,NA,3
"E1-175",19,"19-69",47.73136,-80.32791398,"ONEL","E1","Sprayed","2018",74.5,184,171,211,76,1.93704347826087,0,NA,4
"E1-176",22,"22-45",46.75552,-79.04650404,"QCTM","E1","Sprayed","2018",92.5,190,179,211,93.5,8.09704347826087,0,NA,8
"E1-177",1,"1-12",38.8235,-77.71118397,"VABR","E1","Sprayed","2018",130.5,211,190,230,131.5,10.0970434782609,0.125,NA,8
"E1-178",18,"18-2",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",92,179,171,211,84.5,13.9170434782609,0,NA,7
"E1-179",12,"12-68",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",107.5,190,179,211,106,6.56704347826087,0,NA,7
"E1-18",18,"18-3",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",93,179,171,211,90,19.2170434782609,0,NA,6
"E1-180",17,"17-70",45.02376,-79.31190301,"ONBB","E1","Sprayed","2018",141,197,179,211,137.5,12.3970434782609,0.111111111111111,NA,9
"E1-181",17,"17-48",45.02376,-79.31190301,"ONBB","E1","Sprayed","2018",111,190,171,211,109.5,4.46704347826087,0,NA,3
"E1-182",3,"3-75",40.23327,-77.280415,"PAOL","E1","Sprayed","2018",101,211,190,211,100,1.27704347826087,0,NA,6
"E1-183",15,"15-56",44.2915,-79.04909003,"ONBV","E1","Sprayed","2018",88,171,171,211,89,9.16704347826087,0,NA,6
"E1-184",14,"14-17",44.29771,-78.300041,"ONPB","E1","Sprayed","2018",107.5,190,179,211,106.5,3.79704347826087,0,NA,4
"E1-185",12,"12-3",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",107,190,179,211,109,14.9070434782609,0,NA,7
"E1-186",17,"17-21",45.02376,-79.31190301,"ONBB","E1","Sprayed","2018",119.5,190,171,211,121,5.82704347826087,0.2,NA,5
"E1-187",3,"3-24",40.23327,-77.280415,"PAOL","E1","Sprayed","2018",111.5,218,211,230,112.5,1.90704347826087,0,NA,8
"E1-188",13,"13-33",44.6076,-76.27898502,"ONCQ","E1","Sprayed","2018",111.5,179,171,211,109,23.0970434782609,0.142857142857143,NA,7
"E1-189",5,"5-28",41.42692,-75.63466896,"PASC","E1","Sprayed","2018",98.5,190,179,211,100,1.72704347826087,0.5,NA,2
"E1-19",4,"4-14",40.06813,-76.90717204,"PAGP","E1","Sprayed","2018",123,211,197,218,123.5,4.25704347826087,0,NA,6
"E1-190",2,"2-35",38.7966,-77.29988901,"VAFF","E1","Sprayed","2018",139,211,184,211,138,8.11704347826087,0.4,NA,5
"E1-191",11,"11-58",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",130.5,218,197,218,130,0.62704347826087,0,NA,3
"E1-192",22,"22-48",46.75552,-79.04650404,"QCTM","E1","Sprayed","2018",93,211,184,211,94,3.14704347826087,0.333333333333333,NA,3
"E1-193",15,"15-23",44.2915,-79.04909003,"ONBV","E1","Sprayed","2018",89,179,171,211,88.5,25.8770434782609,0,NA,5
"E1-194",10,"10-62",43.69717,-76.19529499,"NYLV","E1","Sprayed","2018",82.5,197,184,211,86,1.87704347826087,0.111111111111111,NA,9
"E1-195",5,"5-37",41.42692,-75.63466896,"PASC","E1","Sprayed","2018",92,190,179,211,96,7.06704347826087,0,NA,2
"E1-196",12,"12-6",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",104,190,179,211,104,11.2370434782609,0.125,NA,8
"E1-197",5,"5-74",41.42692,-75.63466896,"PASC","E1","Sprayed","2018",95,190,179,211,97,4.27704347826087,0,NA,2
