"","Ind","Treatment","LAT","POP","FAM","FT","FlwrVeg","PC1_avg","PC2_avg","PC1_skew","PC2_skew","PC1_var","PC2_var","Fit","Dam"
"330","E10-37","Sprayed",44.54749,"12","12-22",543.016666666667,82.5,-0.935004660742888,-0.0285194424731265,0.386351024806196,-0.555372349082706,0.157026929617286,0.643750434754075,10.2256590717376,0.2
"331","E10-38","Sprayed",44.75284,"16","16-5",543.333333333333,84.1666666666667,-0.88369358269191,0.0201893682966513,0.508089433122343,-0.496427614311387,0.331832681468609,1.43783431815044,27.7506590717376,0.328571428571429
"332","E10-39","Sprayed",44.29771,"14","14-72",643.35,105.833333333333,0.177388482924704,0.259365857350162,-0.486543329069291,0.553086237582736,0.707895072117814,1.20560616496924,13.5885740717376,0.466666666666667
"333","E10-4","Sprayed",44.2915,"15","15-7",572.633333333333,94.3333333333333,-0.45824381967246,0.2048609270839,-0.495383517776152,-0.518082479167902,0.125251967420153,1.52141205823346,8.61771789526702,0.22
"334","E10-40","Sprayed",41.57154,"6","6-20",698.592222222222,80.8333333333333,-0.34577906096994,-0.717764931066365,0.944455726034381,-0.891238981239807,0.620635867442542,0.646833910588545,5.1406590717376,0.555555555555555
"335","E10-41","Sprayed",43.28958,"11","11-9",562.45,104.5,-0.195024877422869,0.551763306640888,0.0367063634390961,-0.585873622370386,0.496033117787585,1.07370504869854,34.4206590717376,0.288888888888889
"336","E10-42","Sprayed",44.2915,"15","15-42",602.133333333333,88.3333333333333,-0.517068748818372,-0.096385743524821,-0.360208390148435,-0.800386611792822,0.314286811933695,1.82123019287727,11.3256590717376,0.2
"337","E10-43","Sprayed",45.02376,"17","17-70",626.466666666667,92.6666666666667,-0.287061045177527,-0.0663417362316275,-0.520636608007031,-0.490344762858002,0.159734484805101,1.2878033533053,23.9056590717376,0.328571428571429
"338","E10-44","Sprayed",45.76868,"18","18-77",660.783333333333,91.9166666666667,-0.168563721949806,-0.229848009428586,0.704813867157988,0.339993428361273,0.151898935904869,1.82814305964995,8.05633474741328,0.218253968253968
"339","E10-45","Sprayed",45.02376,"17","17-21",731.508888888889,95.0833333333333,0.217055381645122,-0.425429324263866,-0.844158109205858,0.611089009616972,0.884225977856454,1.50550447284228,5.69713733260717,0.4
"340","E10-46","Sprayed",41.97527,"8","8-58",449.083333333333,67,-1.78605446999769,-0.10765459925163,1.14096524730748,-0.665000425429111,0.181642306839394,0.7011756957561,30.5106590717376,0.133333333333333
"341","E10-47","Sprayed",41.42692,"5","5-50",596.85,108.333333333333,0.0613421965229786,0.525441976982882,1.07172143375745,0.166749870122351,0.515841862152586,1.81799922767616,9.02271789526701,0.166666666666667
"342","E10-48","Sprayed",43.69717,"10","10-37",659.016666666667,126.5,0.861883668464859,0.815117293187425,-1.36234424455507,-0.480097889033717,0.382487629893954,0.668692590840892,46.9356590717376,0.412698412698413
"343","E10-49","Sprayed",38.8235,"1","1-64",639.666666666667,87.6666666666667,-0.382854149810156,-0.270608298061226,-0.184496202351317,-0.243750172660727,0.347301414773566,1.42799740733877,10.3406590717376,0.222222222222222
"344","E10-5","Sprayed",46.75552,"22","22-11",683.616666666667,82.4166666666667,-0.359801821528406,-0.608723276128225,-0.415146599675165,-0.0288584460889818,0.29847987372795,1.36793923316634,19.6156590717376,0.288888888888889
"345","E10-50","Sprayed",44.29771,"14","14-20",541.1,90,-0.717835193457914,0.204400589935294,0.101349218081562,-0.194704031103638,0.212453966601388,1.62424062964863,32.7206590717376,0.32
