"Ind","FVeg","Year","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","FT","BT","FertT","FT_GDD10","FT_GDD5","BT_GDD10","BT_GDD5","FertT_GDD10","FertT_GDD5","FlwrVeg","FlwrVeg_GDD10","FlwrVeg_GDD5","Weight","PropDam","OH","StemTotal"
"E1-131",77.5,"2018",19,"19-31",47.73136,-80.32791398,"ONEL","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,76,76,76,6.78704347826087,0,NA,6
"E1-132",120,"2018",10,"10-29",43.69717,-76.19529499,"NYLV","E1","Sprayed",211,190,218,797.4,1294.1,533.4,925.1,895.6,1427.3,120.5,120.5,120.5,2.59704347826087,0,NA,2
"E1-133",108,"2018",14,"14-79",44.29771,-78.300041,"ONPB","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,104.5,104.5,104.5,2.91704347826087,0.4,NA,5
"E1-134",123,"2018",10,"10-72",43.69717,-76.19529499,"NYLV","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,123.5,123.5,123.5,8.68704347826087,0.166666666666667,NA,6
"E1-135",121.5,"2018",9,"9-36",42.79109,-76.135327,"NYTY","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,119.5,119.5,119.5,6.53704347826087,0,NA,5
"E1-136",110,"2018",13,"13-26",44.6076,-76.27898502,"ONCQ","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,111,111,111,9.33704347826087,0,NA,8
"E1-137",72,"2018",19,"19-59",47.73136,-80.32791398,"ONEL","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,71.5,71.5,71.5,2.68704347826087,0.333333333333333,NA,3
"E1-138",109,"2018",6,"6-55",41.57154,-74.48428896,"NYWU","E1","Sprayed",211,184,211,797.4,1294.1,462.5,824.2,797.4,1294.1,110,110,110,15.6970434782609,0,NA,5
"E1-139",97,"2018",12,"12-52",44.54749,-76.12868903,"ONLY","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,95.5,95.5,95.5,9.88704347826087,0,NA,5
"E1-14",104.5,"2018",20,"20-43",48.10384,-80.19977597,"ONKE","E1","Sprayed",211,197,218,797.4,1294.1,627.8,1054.5,895.6,1427.3,105,105,105,NA,0,NA,1
"E1-140",119.5,"2018",4,"4-65",40.06813,-76.90717204,"PAGP","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,113.5,113.5,113.5,13.7870434782609,0.1,NA,10
"E1-141",142,"2018",11,"11-46",43.28958,-76.128568,"NYWM","E1","Sprayed",211,190,218,797.4,1294.1,533.4,925.1,895.6,1427.3,145.5,145.5,145.5,10.4270434782609,0.6,NA,5
"E1-142",110,"2018",22,"22-32",46.75552,-79.04650404,"QCTM","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,111,111,111,12.0670434782609,0,NA,3
"E1-143",128,"2018",10,"10-7",43.69717,-76.19529499,"NYLV","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,128,128,128,11.1170434782609,0.25,NA,4
"E1-144",135.5,"2018",4,"4-73",40.06813,-76.90717204,"PAGP","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,133.5,133.5,133.5,14.3070434782609,0,NA,4
"E1-145",152,"2018",4,"4-48",40.06813,-76.90717204,"PAGP","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,152,152,152,18.2370434782609,0.25,NA,4
"E1-146",112,"2018",6,"6-56",41.57154,-74.48428896,"NYWU","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,117,117,117,9.33704347826087,0,NA,4
