"ind","pop","fam","lat","lon"
"E2-29","14","61",44.29771,-78.300041
"E2-30","19","6",47.73136,-80.32791398
"E2-31","17","30",45.02376,-79.31190301
"E2-32","11","63",43.28958,-76.128568
"E2-33","2","12",38.7966,-77.29988901
"E2-34","22","73",46.75552,-79.04650404
"E2-35","3","75",40.23327,-77.280415
"E2-36","2","31",38.7966,-77.29988901
"E2-37","11","30",43.28958,-76.128568
"E2-38","17","74",45.02376,-79.31190301
"E2-39","16","9",44.75284,-79.33799797
"E2-40","13","78",44.6076,-76.27898502
"E2-41","18","76",45.76868,-79.39777502
"E2-42","14","30",44.29771,-78.300041
"E2-43","6","44",41.57154,-74.48428896
"E2-44","11","58",43.28958,-76.128568
"E2-45","9","49",42.79109,-76.135327
"E2-46","16","28",44.75284,-79.33799797
"E2-47","6","36",41.57154,-74.48428896
"E2-48","12","36",44.54749,-76.12868903
"E2-49","13","37",44.6076,-76.27898502
"E2-50","20","43",48.10384,-80.19977597
"E2-51","11","41",43.28958,-76.128568
"E2-52","20","41",48.10384,-80.19977597
"E2-53","2","25",38.7966,-77.29988901
"E2-54","9","33",42.79109,-76.135327
"E2-55","20","47",48.10384,-80.19977597
"E2-56","22","32",46.75552,-79.04650404
"E2-57","15","13",44.2915,-79.04909003
"E2-58","9","36",42.79109,-76.135327
"E2-59","1","17",38.8235,-77.71118397
"E2-60","10","62",43.69717,-76.19529499
"E2-61","1","25",38.8235,-77.71118397
"E2-62","11","66",43.28958,-76.128568
"E2-63","20","50",48.10384,-80.19977597
"E2-64","6","19",41.57154,-74.48428896
"E2-65","2","19",38.7966,-77.29988901
"E2-66","20","59",48.10384,-80.19977597
"E2-67","1","2",38.8235,-77.71118397
"E2-68","8","32",41.97527,-75.19598002
"E2-69","8","13",41.97527,-75.19598002
"E2-70","18","3",45.76868,-79.39777502
"E2-71","15","42",44.2915,-79.04909003
"E2-72","19","31",47.73136,-80.32791398
"E2-73","22","11",46.75552,-79.04650404
"E2-74","11","60",43.28958,-76.128568
"E2-75","5","50",41.42692,-75.63466896
"E2-76","2","7",38.7966,-77.29988901
"E2-77","8","12",41.97527,-75.19598002
"E2-78","13","27",44.6076,-76.27898502
"E2-79","16","13",44.75284,-79.33799797
"E2-80","1","26",38.8235,-77.71118397
"E2-81","3","45",40.23327,-77.280415
"E2-82","14","17",44.29771,-78.300041
"E2-83","2","21",38.7966,-77.29988901
"E2-84","19","40",47.73136,-80.32791398
"E2-85","12","51",44.54749,-76.12868903
"E2-86","10","8",43.69717,-76.19529499
"E2-87","16","79",44.75284,-79.33799797
"E2-88","18","30",45.76868,-79.39777502
"E2-89","19","53",47.73136,-80.32791398
"E2-90","11","37",43.28958,-76.128568
"E2-91","5","28",41.42692,-75.63466896
"E2-92","4","46",40.06813,-76.90717204
"E2-93","1","47",38.8235,-77.71118397
"E2-94","18","61",45.76868,-79.39777502
"E2-95","17","65",45.02376,-79.31190301
"E2-96","6","21",41.57154,-74.48428896
"E2-97","8","58",41.97527,-75.19598002
"E2-98","4","47",40.06813,-76.90717204
"E2-99","22","6",46.75552,-79.04650404
"E2-100","14","72",44.29771,-78.300041
"E2-103","5","34",41.42692,-75.63466896
"E2-108","15","23",44.2915,-79.04909003
"E2-109","20","9",48.10384,-80.19977597
"E2-111","18","19",45.76868,-79.39777502
"E2-112","11","68",43.28958,-76.128568
"E2-113","17","76",45.02376,-79.31190301
"E2-114","18","80",45.76868,-79.39777502
