"ind","FFDAYS","FLOWER"
"E10-33",192,TRUE
"E10-34",212,TRUE
"E10-35",192,TRUE
"E10-36",179,TRUE
"E10-37",185,TRUE
"E10-38",185,TRUE
"E10-39",185,TRUE
"E10-4",185,TRUE
"E10-40",192,TRUE
"E10-41",185,TRUE
"E10-42",185,TRUE
"E10-43",185,TRUE
"E10-44",192,TRUE
"E10-45",212,TRUE
"E10-46",179,TRUE
"E10-47",185,TRUE
"E10-48",200,TRUE
"E10-49",179,TRUE
"E10-5",185,TRUE
"E10-50",179,TRUE
"E10-51",192,TRUE
"E10-52",185,TRUE
"E10-53",179,TRUE
"E10-54",179,TRUE
"E10-55",179,TRUE
"E10-56",185,TRUE
"E10-57",192,TRUE
"E10-58",200,TRUE
"E10-59",212,TRUE
"E10-6",185,TRUE
"E10-60",179,TRUE
"E10-61",185,TRUE
"E10-62",192,TRUE
"E10-63",185,TRUE
"E10-64",212,TRUE
"E10-65",185,TRUE
"E10-66",179,TRUE
"E10-67",185,TRUE
"E10-68",192,TRUE
"E10-69",185,TRUE
"E10-7",185,TRUE
"E10-70",192,TRUE
"E10-71",185,TRUE
"E10-72",185,TRUE
"E10-73",192,TRUE
"E10-74",200,TRUE
"E10-75",185,TRUE
"E10-76",192,TRUE
"E10-77",185,TRUE
"E10-78",185,TRUE
"E10-79",185,TRUE
"E10-8",212,TRUE
"E10-80",200,TRUE
"E10-81",179,TRUE
"E10-82",192,TRUE
"E10-83",179,TRUE
"E10-84",185,TRUE
"E10-85",192,TRUE
"E10-86",185,TRUE
"E10-87",200,TRUE
"E10-88",200,TRUE
"E10-89",185,TRUE
"E10-9",200,TRUE
"E10-90",192,TRUE
"E10-91",192,TRUE
"E10-92",185,TRUE
"E10-93",185,TRUE
"E10-94",192,TRUE
"E10-95",179,TRUE
"E10-96",185,TRUE
"E10-97",185,TRUE
"E10-98",185,TRUE
"E10-99",200,TRUE
"E11-1",200,TRUE
"E11-10",200,TRUE
"E11-100",200,TRUE
"E11-101",186,TRUE
"E11-102",200,TRUE
"E11-103",213,TRUE
"E11-104",193,TRUE
"E11-105",213,TRUE
"E11-106",200,TRUE
"E11-107",178,TRUE
"E11-108",186,TRUE
"E11-109",213,TRUE
"E11-11",193,TRUE
"E11-110",222,TRUE
"E11-111",193,TRUE
"E11-112",193,TRUE
"E11-113",186,TRUE
"E11-114",NA,FALSE
"E11-115",193,TRUE
"E11-116",233,TRUE
