"date.dmg","ind","block","pos","dmg.score","dmg.pstems","treatment","ind.month","weight.raw","weight.adj","weight.rel","pop","fam","pfam","lat","lon","date.heights","veg","bud","months","first.flower","FLOWER"
"19-Jun-19","E4-44","E4","44",0,0,"control","E4-44-Jun",29.07,0.0241700000000016,0.0043714788683343,"5","34","5-34",41.42692,-75.63466896,"2019-06-17",17,NA,"Jun",220,TRUE
"19-Jun-19","E4-45","E4","45",3,0,"control","E4-45-Jun",37.49,8.44417,1.52724496134133,"13","78","13-78",44.6076,-76.27898502,"2019-06-17",55.5,NA,"Jun",204,TRUE
"19-Jun-19","E4-46","E4","46",3,0,"control","E4-46-Jun",30.81,1.76417,0.319074550068217,"2","31","2-31",38.7966,-77.29988901,"2019-06-17",65.5,NA,"Jun",NA,FALSE
"19-Jun-19","E4-47","E4","47",1,0,"control","E4-47-Jun",30.12,1.07417,0.194278504592402,"8","55","8-55",41.97527,-75.19598002,"2019-06-17",25,NA,"Jun",NA,FALSE
"19-Jun-19","E4-48","E4","48",3,0,"control","E4-48-Jun",29.21,0.164170000000002,0.0296924156315434,"1","2","1-2",38.8235,-77.71118397,"2019-06-17",59.5,NA,"Jun",NA,FALSE
"19-Jun-19","E4-49","E4","49",1,0,"control","E4-49-Jun",29.42,0.374170000000003,0.0676738207763571,"16","28","16-28",44.75284,-79.33799797,"2019-06-17",55,NA,"Jun",NA,FALSE
"19-Jun-19","E4-50","E4","50",1,0,"control","E4-50-Jun",31.2,2.15417,0.389611445337157,"16","70","16-70",44.75284,-79.33799797,"2019-06-17",51,NA,"Jun",220,TRUE
"19-Jun-19","E4-51","E4","51",1,0,"control","E4-51-Jun",30.49,1.44417,0.261198123180883,"20","7","20-7",48.10384,-80.19977597,"2019-06-17",67,NA,"Jun",272,TRUE
"19-Jun-19","E4-52","E4","52",1,0,"control","E4-52-Jun",30.59,1.54417,0.279284506583175,"11","60","11-60",43.28958,-76.128568,"2019-06-17",70.5,NA,"Jun",NA,FALSE
"19-Jun-19","E4-53","E4","53",3,0,"control","E4-53-Jun",29.21,0.164170000000002,0.0296924156315434,"15","74","15-74",44.2915,-79.04909003,"2019-06-17",71.5,NA,"Jun",212,TRUE
"19-Jun-19","E4-54","E4","54",1,0.166666666666667,"control","E4-54-Jun",33.54,4.49417,0.812832816950793,"22","48","22-48",46.75552,-79.04650404,"2019-06-17",67,NA,"Jun",220,TRUE
"19-Jun-19","E4-55","E4","55",1,0.142857142857143,"control","E4-55-Jun",32.3,3.25417,0.58856166276237,"16","9","16-9",44.75284,-79.33799797,"2019-06-17",51.5,NA,"Jun",190,TRUE
"19-Jun-19","E4-56","E4","56",2,0.333333333333333,"control","E4-56-Jun",30.55,1.50417,0.272049953222258,"18","76","18-76",45.76868,-79.39777502,"2019-06-17",62,NA,"Jun",212,TRUE
"19-Jun-19","E4-57","E4","57",2,0,"control","E4-57-Jun",31.79,2.74417,0.49632110741068,"19","69","19-69",47.73136,-80.32791398,"2019-06-17",57,58,"Jun",184,TRUE
