"ind","block","individual","date","surveyor","stem_length","bud_length","flower_length","fruit_length","note","stem_switch","cdate","round"
"E1-89","E1",89,2018-06-20,"N/A",55,NA,NA,NA,"","","2018-06-20","1"
"E1-90","E1",90,2018-06-20,"N/A",77,78,NA,NA,"","","2018-06-20","1"
"E1-91","E1",91,2018-06-20,"N/A",12,NA,NA,NA,"","","2018-06-20","1"
"E1-92","E1",92,2018-06-20,"N/A",64,65,NA,NA,"","","2018-06-20","1"
"E1-93","E1",93,2018-06-20,"N/A",90,91,NA,NA,"","","2018-06-20","1"
"E1-94","E1",94,2018-06-20,"N/A",101,NA,NA,NA,"","","2018-06-20","1"
"E1-95","E1",95,2018-06-20,"N/A",63.5,NA,NA,NA,"","","2018-06-20","1"
"E1-96","E1",96,2018-06-20,"N/A",74,NA,NA,NA,"","","2018-06-20","1"
"E1-97","E1",97,2018-06-20,"N/A",76.5,NA,NA,NA,"","","2018-06-20","1"
"E1-98","E1",98,2018-06-20,"N/A",104,107.5,NA,NA,"","","2018-06-20","1"
"E1-99","E1",99,2018-06-20,"N/A",78,NA,NA,NA,"","","2018-06-20","1"
"E1-100","E1",100,2018-06-20,"N/A",85,NA,NA,NA,"","","2018-06-20","1"
"E1-101","E1",101,2018-06-20,"N/A",91,NA,NA,NA,"","","2018-06-20","1"
"E1-102","E1",102,2018-06-20,"N/A",90,NA,NA,NA,"","","2018-06-20","1"
"E1-103","E1",103,2018-06-20,"N/A",87,NA,NA,NA,"","","2018-06-20","1"
"E1-104","E1",104,2018-06-20,"N/A",76,NA,NA,NA,"","","2018-06-20","1"
"E1-105","E1",105,2018-06-20,"N/A",101,103,NA,NA,"","","2018-06-20","1"
"E1-106","E1",106,2018-06-20,"N/A",82.5,NA,NA,NA,"","","2018-06-20","1"
"E1-107","E1",107,2018-06-20,"N/A",83,NA,NA,NA,"","","2018-06-20","1"
"E1-108","E1",108,2018-06-20,"N/A",83,NA,NA,NA,"","","2018-06-20","1"
"E1-109","E1",109,2018-06-20,"N/A",94,NA,NA,NA,"","","2018-06-20","1"
"E1-110","E1",110,2018-06-20,"N/A",99,NA,NA,NA,"","","2018-06-20","1"
"E1-111","E1",111,2018-06-20,"N/A",76,NA,NA,NA,"","","2018-06-20","1"
"E1-112","E1",112,2018-06-20,"N/A",99,101,NA,NA,"","","2018-06-20","1"
"E1-113","E1",113,2018-06-20,"N/A",99,NA,NA,NA,"","","2018-06-20","1"
"E1-114","E1",114,2018-06-20,"N/A",79,NA,NA,NA,"","","2018-06-20","1"
"E1-115","E1",115,2018-06-20,"N/A",116,NA,NA,NA,"","","2018-06-20","1"
"E1-116","E1",116,2018-06-20,"N/A",81,NA,NA,NA,"","","2018-06-20","1"
"E1-117","E1",117,2018-06-20,"N/A",73,NA,NA,NA,"","","2018-06-20","1"
