"ind","FFDAYS","FLOWER"
"E11-156",224,TRUE
"E11-157",220,TRUE
"E11-158",220,TRUE
"E11-159",224,TRUE
"E11-16",220,TRUE
"E11-160",206,TRUE
"E11-161",206,TRUE
"E11-162",206,TRUE
"E11-163",183,TRUE
"E11-164",272,TRUE
"E11-165",220,TRUE
"E11-166",186,TRUE
"E11-167",272,TRUE
"E11-168",224,TRUE
"E11-169",206,TRUE
"E11-17",NA,FALSE
"E11-170",224,TRUE
"E11-171",197,TRUE
"E11-172",206,TRUE
"E11-173",206,TRUE
"E11-174",224,TRUE
"E11-175",197,TRUE
"E11-176",224,TRUE
"E11-177",197,TRUE
"E11-178",197,TRUE
"E11-179",197,TRUE
"E11-18",NA,FALSE
"E11-180",272,TRUE
"E11-181",189,TRUE
"E11-182",189,TRUE
"E11-183",220,TRUE
"E11-184",197,TRUE
"E11-185",272,TRUE
"E11-186",220,TRUE
"E11-187",189,TRUE
"E11-188",197,TRUE
"E11-189",272,TRUE
"E11-19",206,TRUE
"E11-190",220,TRUE
"E11-191",186,TRUE
"E11-192",224,TRUE
"E11-193",197,TRUE
"E11-194",197,TRUE
"E11-195",206,TRUE
"E11-196",206,TRUE
"E11-197",272,TRUE
"E11-198",183,TRUE
"E11-199",206,TRUE
"E11-2",183,TRUE
"E11-20",220,TRUE
"E11-200",197,TRUE
"E11-201",212,TRUE
"E11-21",197,TRUE
"E11-22",220,TRUE
"E11-23",224,TRUE
"E11-24",206,TRUE
"E11-25",224,TRUE
"E11-26",197,TRUE
"E11-27",206,TRUE
"E11-28",224,TRUE
"E11-29",206,TRUE
"E11-3",NA,FALSE
"E11-30",186,TRUE
"E11-31",206,TRUE
"E11-32",197,TRUE
"E11-33",272,TRUE
"E11-34",189,TRUE
"E11-35",197,TRUE
"E11-36",206,TRUE
"E11-37",220,TRUE
"E11-38",NA,FALSE
"E11-39",186,TRUE
"E11-4",197,TRUE
"E11-40",NA,FALSE
"E11-41",212,TRUE
"E11-42",212,TRUE
"E11-43",189,TRUE
"E11-44",224,TRUE
"E11-45",206,TRUE
"E11-46",206,TRUE
"E11-47",206,TRUE
"E11-48",206,TRUE
"E11-49",197,TRUE
"E11-5",206,TRUE
"E11-50",197,TRUE
"E11-52",189,TRUE
"E11-53",206,TRUE
"E11-54",189,TRUE
"E11-55",189,TRUE
"E11-56",197,TRUE
"E11-57",183,TRUE
"E11-58",197,TRUE
"E11-59",197,TRUE
"E11-6",186,TRUE
"E11-60",NA,FALSE
"E11-61",183,TRUE
"E11-62",189,TRUE
"E11-63",197,TRUE
"E11-64",197,TRUE
"E11-65",183,TRUE
"E11-66",197,TRUE
"E11-67",197,TRUE
"E11-68",178,TRUE
"E11-69",NA,FALSE
"E11-7",235,TRUE
"E11-70",212,TRUE
"E11-71",212,TRUE
"E11-72",NA,FALSE
"E11-73",NA,FALSE
"E11-74",206,TRUE
"E11-75",NA,FALSE
"E11-76",197,TRUE
"E11-77",206,TRUE
"E11-78",183,TRUE
"E11-79",197,TRUE
"E11-8",NA,FALSE
"E11-80",189,TRUE
"E11-81",197,TRUE
"E11-82",NA,FALSE
"E11-83",220,TRUE
"E11-84",224,TRUE
"E11-85",212,TRUE
"E11-86",197,TRUE
"E11-87",212,TRUE
"E11-88",212,TRUE
"E11-89",186,TRUE
"E11-9",220,TRUE
"E11-90",206,TRUE
"E11-91",189,TRUE
"E11-92",220,TRUE
"E11-93",197,TRUE
"E11-94",189,TRUE
"E11-95",183,TRUE
"E11-96",206,TRUE
"E11-97",220,TRUE
"E11-98",206,TRUE
"E11-99",212,TRUE
"E12-1",197,TRUE
