"Block","Pos","Ind","Weight"
"E4",5,"E4-5",0
"E4",6,"E4-6",0
"E4",7,"E4-7",0
"E4",8,"E4-8",0
"E4",9,"E4-9",0
"E4",10,"E4-10",0
"E4",11,"E4-11",0
"E4",12,"E4-12",0
"E4",13,"E4-13",0
"E4",14,"E4-14",0
"E4",15,"E4-15",0
"E4",16,"E4-16",0
"E4",17,"E4-17",0
"E4",18,"E4-18",0
"E4",19,"E4-19",0
"E4",20,"E4-20",0
"E4",21,"E4-21",0
"E4",22,"E4-22",0
"E4",23,"E4-23",0
"E4",24,"E4-24",0
"E4",25,"E4-25",0
"E4",26,"E4-26",0
"E4",27,"E4-27",0
"E4",28,"E4-28",0
"E4",29,"E4-29",0
"E4",30,"E4-30",0
"E4",31,"E4-31",0
"E4",32,"E4-32",0
"E4",33,"E4-33",0
"E4",34,"E4-34",0
"E4",35,"E4-35",0
"E4",36,"E4-36",0
"E4",37,"E4-37",0
"E4",38,"E4-38",0
"E4",39,"E4-39",0
"E4",40,"E4-40",0.0986486486486555
"E4",41,"E4-41",0
"E4",42,"E4-42",0
"E4",43,"E4-43",0
"E4",44,"E4-44",0
"E4",45,"E4-45",0
"E4",46,"E4-46",0.0386486486486532
"E4",47,"E4-47",0
"E4",48,"E4-48",0
"E4",49,"E4-49",0
"E4",50,"E4-50",0
"E4",51,"E4-51",0
"E4",52,"E4-52",0
"E4",53,"E4-53",0
"E4",54,"E4-54",0
"E4",55,"E4-55",0
"E4",56,"E4-56",0
"E4",57,"E4-57",0
"E4",58,"E4-58",0
"E4",59,"E4-59",0
"E4",60,"E4-60",0
"E4",61,"E4-61",0
"E4",62,"E4-62",0
"E4",63,"E4-63",0
"E4",64,"E4-64",0
"E4",65,"E4-65",0
"E4",66,"E4-66",0
"E4",67,"E4-67",0
"E4",68,"E4-68",0
"E4",69,"E4-69",0
"E4",70,"E4-70",0
"E4",71,"E4-71",0
"E4",72,"E4-72",0
"E4",73,"E4-73",0
"E4",74,"E4-74",0
"E4",75,"E4-75",0
"E4",76,"E4-76",0
"E4",77,"E4-77",0
"E4",78,"E4-78",0
"E4",79,"E4-79",0
"E4",80,"E4-80",0
"E4",81,"E4-81",0
"E4",82,"E4-82",0
"E4",83,"E4-83",0
"E4",84,"E4-84",0
"E4",85,"E4-85",0
"E4",86,"E4-86",0
"E4",87,"E4-87",0
"E4",88,"E4-88",0
"E4",89,"E4-89",0
"E4",90,"E4-90",0
"E4",91,"E4-91",0
"E4",92,"E4-92",0
"E4",93,"E4-93",0
"E4",94,"E4-94",0
"E4",95,"E4-95",0
"E4",96,"E4-96",0
"E4",97,"E4-97",0
"E4",98,"E4-98",0
"E4",99,"E4-99",0
"E4",100,"E4-100",0.568648648648654
"E4",101,"E4-101",0.87864864864865
"E4",102,"E4-102",0
"E4",103,"E4-103",0
"E4",104,"E4-104",0
"E4",105,"E4-105",0
"E4",106,"E4-106",0
"E4",107,"E4-107",0
"E4",108,"E4-108",0
"E4",109,"E4-109",0
"E4",110,"E4-110",0
"E4",111,"E4-111",0
"E4",112,"E4-112",0
"E4",113,"E4-113",0
"E4",114,"E4-114",0
"E4",115,"E4-115",0
"E4",116,"E4-116",0
"E4",117,"E4-117",0
"E4",118,"E4-118",0
"E4",119,"E4-119",0
"E4",120,"E4-120",0
"E4",121,"E4-121",0
"E4",122,"E4-122",0
"E4",123,"E4-123",0
"E4",124,"E4-124",0
"E4",125,"E4-125",0
"E4",126,"E4-126",0
"E4",127,"E4-127",0
"E4",128,"E4-128",0
"E4",129,"E4-129",0
"E4",130,"E4-130",0
"E4",131,"E4-131",0
"E4",132,"E4-132",0
"E4",133,"E4-133",0
"E4",134,"E4-134",0
"E4",135,"E4-135",0.848648648648656
"E4",136,"E4-136",0
"E4",137,"E4-137",0
"E4",138,"E4-138",0
"E4",139,"E4-139",0
"E4",140,"E4-140",0
"E4",141,"E4-141",0
"E4",142,"E4-142",0
"E4",143,"E4-143",0
"E4",144,"E4-144",0
"E4",145,"E4-145",0
"E4",146,"E4-146",0
"E4",147,"E4-147",0
"E4",148,"E4-148",0
"E4",149,"E4-149",0
"E4",150,"E4-150",0
"E4",151,"E4-151",0
"E4",152,"E4-152",0
"E4",153,"E4-153",0
"E4",154,"E4-154",0
"E4",155,"E4-155",0
"E4",156,"E4-156",0
"E4",157,"E4-157",0
"E4",158,"E4-158",0
"E4",159,"E4-159",0
"E4",160,"E4-160",0
"E4",161,"E4-161",0
"E4",162,"E4-162",0
"E4",163,"E4-163",0
"E4",164,"E4-164",0
"E4",165,"E4-165",0
"E4",166,"E4-166",0
"E4",167,"E4-167",0
"E4",168,"E4-168",0
"E4",169,"E4-169",0
"E4",170,"E4-170",0
"E4",171,"E4-171",0
"E4",172,"E4-172",0
"E4",173,"E4-173",0
"E4",174,"E4-174",0
"E4",175,"E4-175",0
"E4",176,"E4-176",0
"E4",177,"E4-177",0
"E4",178,"E4-178",0
"E4",179,"E4-179",0
"E4",180,"E4-180",0
"E4",181,"E4-181",0
"E4",182,"E4-182",0
"E4",183,"E4-183",0
"E4",184,"E4-184",0
"E4",185,"E4-185",0
"E4",186,"E4-186",0
"E4",187,"E4-187",0
"E4",188,"E4-188",1.02864864864866
"E4",189,"E4-189",0
"E4",190,"E4-190",0
"E4",191,"E4-191",0
"E4",192,"E4-192",0
"E4",193,"E4-193",0
"E4",194,"E4-194",0
"E4",195,"E4-195",0
"E4",196,"E4-196",0
"E4",197,"E4-197",0
"E4",198,"E4-198",0
"E4",199,"E4-199",0
"E4",200,"E4-200",0
"E4",201,"E4-201",0
"E5",1,"E5-1",0
"E5",2,"E5-2",0
"E5",3,"E5-3",0
"E5",4,"E5-4",0
"E5",5,"E5-5",0
"E5",6,"E5-6",0
"E5",7,"E5-7",0
"E5",8,"E5-8",0.0886486486486504
"E5",9,"E5-9",0
"E5",10,"E5-10",0.0186486486486501
"E5",11,"E5-11",0.0686486486486544
"E5",12,"E5-12",0
"E5",13,"E5-13",1.53864864864865
"E5",14,"E5-14",0
"E5",15,"E5-15",0.0286486486486552
"E5",16,"E5-16",0
"E5",17,"E5-17",0.298648648648651
"E5",18,"E5-18",0
"E5",19,"E5-19",0
"E5",20,"E5-20",0
"E5",21,"E5-21",0
"E5",22,"E5-22",0
"E5",23,"E5-23",0
"E5",24,"E5-24",0
"E5",25,"E5-25",0
"E5",26,"E5-26",0
"E5",27,"E5-27",0
"E5",28,"E5-28",0
"E5",29,"E5-29",0
"E5",30,"E5-30",0
"E5",31,"E5-31",0
"E5",32,"E5-32",0
"E5",33,"E5-33",0
"E5",34,"E5-34",0
"E5",35,"E5-35",0
"E5",36,"E5-36",0
"E5",37,"E5-37",0
"E5",38,"E5-38",0
"E5",39,"E5-39",0
"E5",40,"E5-40",0.718648648648653
"E5",41,"E5-41",0
"E5",42,"E5-42",0
"E5",43,"E5-43",0
"E5",44,"E5-44",0
"E5",45,"E5-45",0
"E5",46,"E5-46",1.10864864864865
"E5",47,"E5-47",0
"E5",48,"E5-48",0
"E5",49,"E5-49",0
"E5",50,"E5-50",0
"E5",51,"E5-51",0.818648648648654
"E5",52,"E5-52",0
"E5",53,"E5-53",0
"E5",54,"E5-54",0
"E5",55,"E5-55",0
"E5",56,"E5-56",0
"E5",57,"E5-57",0
"E5",58,"E5-58",0
"E5",59,"E5-59",0
"E5",60,"E5-60",0
"E5",61,"E5-61",0
"E5",62,"E5-62",0
"E5",63,"E5-63",0
"E5",64,"E5-64",0
"E5",65,"E5-65",0
"E5",66,"E5-66",0
"E5",67,"E5-67",0
"E5",68,"E5-68",0
"E5",69,"E5-69",0
"E5",70,"E5-70",0
"E5",71,"E5-71",0
"E5",72,"E5-72",0
"E5",73,"E5-73",0
"E5",74,"E5-74",0
"E5",75,"E5-75",1.65864864864865
"E5",76,"E5-76",0
"E5",77,"E5-77",0
"E5",78,"E5-78",0
"E5",79,"E5-79",0
"E5",80,"E5-80",0.298648648648651
"E5",81,"E5-81",0
"E5",82,"E5-82",0
"E5",83,"E5-83",0
"E5",84,"E5-84",0
"E5",85,"E5-85",0.158648648648651
"E5",86,"E5-86",0
"E5",87,"E5-87",0
"E5",88,"E5-88",0.62864864864865
"E5",89,"E5-89",0
"E5",90,"E5-90",0
"E5",91,"E5-91",0
"E5",92,"E5-92",0
"E5",93,"E5-93",0
"E5",94,"E5-94",0
"E5",95,"E5-95",0
"E5",96,"E5-96",0
"E5",97,"E5-97",0
"E5",98,"E5-98",0
"E5",99,"E5-99",0
"E5",100,"E5-100",0
"E5",101,"E5-101",13.4986486486487
"E5",102,"E5-102",0
"E5",103,"E5-103",0
"E5",104,"E5-104",0
"E5",105,"E5-105",0
"E5",106,"E5-106",0
"E5",107,"E5-107",0
"E5",108,"E5-108",0
"E5",109,"E5-109",0
"E5",110,"E5-110",0
"E5",111,"E5-111",4.82864864864865
"E5",112,"E5-112",0
"E5",113,"E5-113",1.98864864864865
"E5",114,"E5-114",0
"E5",115,"E5-115",0
"E5",116,"E5-116",0
"E5",117,"E5-117",0
"E5",118,"E5-118",0
"E5",119,"E5-119",0
"E5",120,"E5-120",0
"E5",121,"E5-121",0
"E5",122,"E5-122",0
"E5",123,"E5-123",0
"E5",124,"E5-124",0
"E5",125,"E5-125",0
"E5",126,"E5-126",0
"E5",127,"E5-127",0
"E5",128,"E5-128",0.258648648648652
"E5",129,"E5-129",0
"E5",130,"E5-130",0
"E5",131,"E5-131",0
"E5",132,"E5-132",0
"E5",133,"E5-133",0
"E5",134,"E5-134",0
"E5",135,"E5-135",0
"E5",136,"E5-136",0
"E5",137,"E5-137",0.148648648648653
"E5",138,"E5-138",0
"E5",139,"E5-139",0
"E5",140,"E5-140",0
"E5",141,"E5-141",0
"E5",142,"E5-142",1.02864864864866
"E5",143,"E5-143",0.168648648648656
"E5",144,"E5-144",0
"E5",145,"E5-145",0.178648648648654
"E5",146,"E5-146",0
"E5",147,"E5-147",1.52864864864866
"E5",148,"E5-148",0
"E5",149,"E5-149",0
"E5",150,"E5-150",0
"E5",151,"E5-151",5.67864864864865
"E5",152,"E5-152",0
"E5",153,"E5-153",4.42864864864865
"E5",154,"E5-154",0
"E5",155,"E5-155",0
"E5",156,"E5-156",0
"E5",157,"E5-157",0
"E5",158,"E5-158",0
"E5",159,"E5-159",0
"E5",160,"E5-160",0
"E5",161,"E5-161",0.598648648648656
"E5",162,"E5-162",0
"E5",163,"E5-163",1.99864864864865
"E5",164,"E5-164",0
"E5",165,"E5-165",0
"E5",166,"E5-166",0
"E5",167,"E5-167",0
"E5",168,"E5-168",1.17864864864865
"E5",169,"E5-169",0
"E5",170,"E5-170",0
"E5",171,"E5-171",1.99864864864865
"E5",172,"E5-172",0
"E5",173,"E5-173",0.168648648648656
"E5",174,"E5-174",0
"E5",175,"E5-175",0
"E5",176,"E5-176",0
"E5",177,"E5-177",0
"E5",178,"E5-178",0
"E5",179,"E5-179",0
"E5",180,"E5-180",0
"E5",181,"E5-181",0
"E5",182,"E5-182",0
"E5",183,"E5-183",9.89864864864865
"E5",184,"E5-184",0
"E5",185,"E5-185",0
"E5",186,"E5-186",1.03864864864865
"E5",187,"E5-187",0
"E5",188,"E5-188",0
"E5",189,"E5-189",0.808648648648649
"E5",190,"E5-190",0
"E5",191,"E5-191",0.248648648648654
