"Block","Pos","rawWeight","ind","Weight"
"E10","70",32.54,"E10-70",3.49417
"E10","71",40.45,"E10-71",11.40417
"E10","72",34.16,"E10-72",5.11417
"E10","73",33,"E10-73",3.95417
"E10","74",29.15,"E10-74",0.10417
"E10","75",37.51,"E10-75",8.46417
"E10","76",30.32,"E10-76",1.27417
"E10","77",30.87,"E10-77",1.82417
"E10","78",35.82,"E10-78",6.77417
"E10","79",35.77,"E10-79",6.72417
"E10","80",30.94,"E10-80",1.89417
"E10","81",37.5,"E10-81",8.45417
"E10","82",29.43,"E10-82",0.384170000000001
"E10","83",34.27,"E10-83",5.22417
"E10","84",32.56,"E10-84",3.51417
"E10","85",31.41,"E10-85",2.36417
"E10","86",37.69,"E10-86",8.64417
"E10","87",30.96,"E10-87",1.91417
"E10","88",31.66,"E10-88",2.61417
"E10","89",34.16,"E10-89",5.11417
"E10","90",30.88,"E10-90",1.83417
"E10","91",44,"E10-91",14.95417
"E10","92",32.09,"E10-92",3.04417
"E10","93",38.38,"E10-93",9.33417
"E10","94",37.48,"E10-94",8.43417
"E10","95",32.54,"E10-95",3.49417
"E10","96",48.79,"E10-96",19.74417
"E10","97",39.51,"E10-97",10.46417
"E10","98",38.07,"E10-98",9.02417
"E10","99",33.29,"E10-99",4.24417
"E10","100",35.88,"E10-100",6.83417
"E10","101",35.64,"E10-101",6.59417
"E10","102",52.59,"E10-102",23.54417
"E10","103",52.16,"E10-103",23.11417
"E10","104",34.34,"E10-104",5.29417
"E10","105",48.38,"E10-105",19.33417
"E10","106",29.45,"E10-106",0.404170000000001
"E10","107",36.09,"E10-107",7.04417
"E10","108",33.76,"E10-108",4.71417
"E10","109",32.77,"E10-109",3.72417
"E10","110",40.74,"E10-110",11.69417
"E10","111",28.94,"E10-111",0
"E10","112",39.63,"E10-112",10.58417
"E10","113",39.46,"E10-113",10.41417
"E10","114",32.42,"E10-114",3.37417
"E10","115",33.67,"E10-115",4.62417
"E10","116",30.35,"E10-116",1.30417
"E10","117",31.19,"E10-117",2.14417
"E10","118",44.06,"E10-118",15.01417
"E10","119",30.58,"E10-119",1.53417
"E10","120",30.92,"E10-120",1.87417
"E10","121",30,"E10-121",0.954170000000001
"E10","122",29.62,"E10-122",0.574170000000002
"E10","123",32.32,"E10-123",3.27417
"E10","124",29.72,"E10-124",0.67417
"E10","125",36.6,"E10-125",7.55417
"E10","126",29.67,"E10-126",0.624170000000003
"E10","127",34.04,"E10-127",4.99417
"E10","128",32.31,"E10-128",3.26417
"E10","129",30.08,"E10-129",1.03417
"E10","130",35.22,"E10-130",6.17417
"E10","131",29.82,"E10-131",0.774170000000002
"E10","132",35.64,"E10-132",6.59417
