Block,Pos,Date,Measurer,Veg,Bud,Flr,Fert,Abt,M,S,N
E2,24,31-May,Rob,19.5,,,,,,,
E2,25,31-May,Rob,24.5,,,,,,,
E2,26,31-May,Rob,16.5,,,,,,,
E2,27,31-May,Rob,15.5,,,,,,,
E2,28,31-May,Rob,14,,,,,,,
E2,29,31-May,Rob,17,,,,,,,
E2,30,31-May,Rob,17.5,,,,,,,
E2,31,31-May,Rob,18,,,,,,,
E2,32,31-May,Rob,18.5,,,,,,,
E2,33,31-May,Rob,21.5,,,,,,,
E2,34,31-May,Rob,26.5,,,,,,,
E2,35,31-May,Rob,26.5,,,,,,,
E2,36,31-May,Rob,18,,,,,,,
E2,37,31-May,Rob,NA,,,,,,,
E2,38,31-May,Rob,30,,,,,,,
E2,39,31-May,Rob,24,,,,,,,
E2,40,31-May,Rob,20,,,,,,,
E2,41,31-May,Rob,21.5,,,,,,,
E2,42,31-May,Rob,21,,,,,,,
E2,43,31-May,Rob,15,,,,,,,
E2,44,31-May,Rob,28,,,,,,,
E2,45,31-May,Rob,23,,,,,,,
E2,46,31-May,Rob,15.5,,,,,,,
E2,47,31-May,Rob,14,,,,,,,
E2,48,31-May,Rob,22.5,,,,,,,
E2,49,31-May,Rob,15.5,,,,,,,
E2,50,31-May,Rob,16,,,,,,,
E2,51,31-May,Rob,27.5,,,,,,,
E2,52,31-May,Rob,20.5,,,,,,,
E2,53,31-May,Rob,33,,,,,,,
E2,54,31-May,Rob,26,,,,,,,
E2,55,31-May,Rob,28,,,,,,,
E2,56,31-May,Rob,NA,,,,,,,
E2,57,31-May,Rob,23.5,,,,,,,
E2,58,31-May,Rob,26,,,,,,,
E2,59,31-May,Rob,15.5,,,,,,,
E2,60,31-May,Rob,27.5,,,,,,,
E2,61,31-May,Rob,21.5,,,,,,,
E2,62,31-May,Rob,18,,,,,,,
E2,63,31-May,Rob,31,,,,,,,
E2,64,31-May,Rob,28.5,,,,,,,
E2,65,31-May,Rob,33.5,,,,,,,
E2,66,31-May,Rob,NA,,,,,,,
E2,67,31-May,Rob,24.5,,,,,,,
E2,68,31-May,Rob,32,,,,,,,
E2,69,31-May,Rob,31,,,,,,,
E2,70,31-May,Rob,27,,,,,,,
E2,71,31-May,Rob,31,,,,,,,
E2,72,31-May,Rob,15,,,,,,,
E2,73,31-May,Rob,27.5,,,,,,,
E2,74,31-May,Rob,40,,,,,,,
E2,75,31-May,Rob,25,,,,,,,
E2,76,31-May,Rob,30.5,,,,,,,
E2,77,31-May,Rob,25,,,,,,,
E2,78,31-May,Rob,23,,,,,,,
E2,79,31-May,Rob,19,,,,,,,
E2,80,31-May,Rob,25,,,,,,,
E2,81,31-May,Rob,27.5,,,,,,,
E2,82,31-May,Rob,30,,,,,,,
E2,83,31-May,Rob,31.5,,,,,,,
E2,84,31-May,Rob,21,,,,,,,
E2,85,31-May,Rob,22,,,,,,,
E2,86,31-May,Rob,38.5,,,,,,,
E2,87,31-May,Rob,29,,,,,,,
E2,88,31-May,Rob,23,,,,,,,
E2,89,31-May,Rob,22.5,,,,,,,
E2,90,31-May,Rob,24.5,,,,,,,
E2,91,31-May,Rob,31.5,,,,,,,
E2,92,31-May,Rob,38,,,,,,,
E2,93,31-May,Rob,17.5,,,,,,,
E2,94,31-May,Rob,14,,,,,,,
E2,95,31-May,Rob,31,,,,,,,
E2,96,31-May,Rob,NA,,,,,,,
E2,97,31-May,Rob,22.5,,,,,,,
E2,98,31-May,Rob,29,,,,,,,
E2,99,31-May,Rob,24.5,,,,,,,
E2,100,31-May,Rob,25,,,,,,,
E2,101,31-May,Rob,NA,,,,,,,
E2,102,31-May,Rob,NA,,,,,,,
E2,103,31-May,Rob,26,,,,,,,
E2,104,31-May,Rob,NA,,,,,,,
E2,105,31-May,Rob,NA,,,,,,,
E2,106,31-May,Rob,NA,,,,,,,
E2,107,31-May,Rob,NA,,,,,,,
E2,108,31-May,Rob,21.5,,,,,,,
E2,109,31-May,Rob,31,,,,,,,
E2,110,31-May,Rob,NA,,,,,,,
E2,111,31-May,Rob,32,,,,,,,
E2,112,31-May,Rob,25,,,,,,,
E2,113,31-May,Rob,27,,,,,,,
E2,114,31-May,Rob,29,,,,,,,
E2,115,31-May,Rob,36,,,,,,,
E2,116,31-May,Rob,28,,,,,,,
E2,117,31-May,Rob,21,,,,,,,
E2,118,31-May,Rob,25.5,,,,,,,
E2,119,31-May,Rob,15,,,,,,,
E2,120,31-May,Rob,30.5,,,,,,,
E2,121,31-May,Rob,23,,,,,,,
E2,122,31-May,Rob,26,,,,,,,
E2,123,31-May,Rob,27,,,,,,,
E2,124,31-May,Rob,24,,,,,,,
E2,125,31-May,Rob,29,,,,,,,
E2,126,31-May,Rob,25,,,,,,,
E2,127,31-May,Rob,26,,,,,,,
E2,128,31-May,Rob,30,,,,,,,
E2,129,31-May,Rob,19,,,,,,,
E2,130,31-May,Rob,22,,,,,,,
E2,131,31-May,Rob,26,,,,,,,
E2,132,31-May,Rob,23,,,,,,,
E2,133,31-May,Rob,28,,,,,,,
E2,134,31-May,Rob,23,,,,,,,
E2,135,31-May,Rob,26,,,,,,,
E2,136,31-May,Rob,28,,,,,,,
E2,137,31-May,Rob,25.5,,,,,,,
E2,138,31-May,Rob,22.5,,,,,,,
E2,139,31-May,Rob,17,,,,,,,
E2,140,31-May,Rob,41.5,,,,,,,
E2,141,31-May,Rob,28,,,,,,,
E2,142,31-May,Rob,37,,,,,,,
E2,143,31-May,Rob,21,,,,,,,
E2,144,31-May,Rob,34.5,,,,,,,
E2,145,31-May,Rob,29.5,,,,,,,
E2,146,31-May,Rob,18,,,,,,,
E2,147,31-May,Rob,23.5,,,,,,,
E2,148,31-May,Rob,30,,,,,,,
E2,149,31-May,Rob,16,,,,,,,
E2,150,31-May,Rob,17,,,,,,,
E2,151,31-May,Rob,30,,,,,,,
E2,152,31-May,Rob,21,,,,,,,
E2,153,31-May,Rob,21,,,,,,,
E2,154,31-May,Rob,30,,,,,,,
E2,155,31-May,Rob,20,,,,,,,
E2,156,31-May,Rob,25.5,,,,,,,
E2,157,31-May,Rob,29,,,,,,,
E2,158,31-May,Rob,26,,,,,,,
E2,159,31-May,Rob,23.5,,,,,,,
E2,160,31-May,Rob,22,,,,,,,
E2,161,31-May,Rob,23,,,,,,,
E2,162,31-May,Rob,22,,,,,,,
E2,163,31-May,Rob,18.5,,,,,,,
E2,164,31-May,Rob,22.5,,,,,,,
E2,165,31-May,Rob,30.5,,,,,,,
E2,166,31-May,Rob,16.5,,,,,,,
E2,167,31-May,Rob,24,,,,,,,
E2,168,31-May,Rob,20.5,,,,,,,
E2,169,31-May,Rob,17.5,,,,,,,
E2,170,31-May,Rob,20,,,,,,,
E2,171,31-May,Rob,14,,,,,,,
E2,172,31-May,Rob,21.5,,,,,,,
E2,173,31-May,Rob,16,,,,,,,
E2,174,31-May,Rob,16,,,,,,,
E2,175,31-May,Rob,21.5,,,,,,,
E2,176,31-May,Rob,25.5,,,,,,,
E2,177,31-May,Rob,26.5,,,,,,,
E2,178,31-May,Rob,20,,,,,,,
E2,179,31-May,Rob,16,,,,,,,
E2,180,31-May,Rob,18.5,,,,,,,
E2,181,31-May,Rob,25.5,,,,,,,
E2,182,31-May,Rob,24.5,,,,,,,
E2,183,31-May,Rob,13,,,,,,,
E2,184,31-May,Rob,16,,,,,,,
E2,185,31-May,Rob,13,,,,,,,
E2,186,31-May,Rob,18,,,,,,,
E2,187,31-May,Rob,13,,,,,,,
E2,188,31-May,Rob,25,,,,,,,
E2,189,31-May,Rob,12.5,,,,,,,
E2,190,31-May,Rob,16,,,,,,,
E2,191,31-May,Rob,14,,,,,,,
E2,192,31-May,Rob,13,,,,,,,
E2,193,31-May,Rob,20,,,,,,,
E2,194,31-May,Rob,20.5,,,,,,,
E2,195,31-May,Rob,27,,,,,,,
E2,196,31-May,Rob,12,,,,,,,
E2,197,31-May,Rob,17.5,,,,,,,
E2,198,31-May,Rob,3,,,,,,,
E2,199,31-May,Rob,16.5,,,,,,,
E2,200,31-May,Rob,21,,,,,,,
E2,201,31-May,Rob,20,,,,,,,
E2,202,31-May,Rob,18,,,,,,,
E2,203,31-May,Rob,19,,,,,,,
E2,204,31-May,Rob,19,,,,,,,
E2,205,31-May,Rob,20.5,,,,,,,
E3,1,31-May,Damian,16,,,,,,,
