Plot,Individual,Date,Measurer,Num_primary_stems,Num_stems_dmg,Apical_stem_dmg
E2,194,2018-08-08,jamie,4,2,y
E2,195,2018-08-08,jamie,5,1,n
E2,196,2018-08-08,jamie,5,2,y
E2,197,2018-08-08,jamie,6,3,y
E2,198,2018-08-08,jamie,3,0,n
E2,199,2018-08-08,jamie,6,3,y
E2,200,2018-08-08,jamie,9,8,n
E2,201,2018-08-08,jamie,6,2,n
E2,202,2018-08-08,jamie,4,2,y
E2,203,2018-08-08,jamie,5,2,n
E2,204,2018-08-08,jamie,6,1,n
E2,205,2018-08-08,jamie,7,1,n
E5,1,16/8/2018,jamie,5,5,y
E5,2,16/8/2018,jamie,3,3,y
E5,3,16/8/2018,jamie,5,2,n
E5,4,16/8/2018,jamie,4,4,y
E5,5,16/8/2018,jamie,4,4,y
E5,6,16/8/2018,jamie,5,5,n
E5,7,16/8/2018,jamie,3,1,n
E5,8,16/8/2018,jamie,10,4,n
E5,9,16/8/2018,jamie,10,2,n
E5,10,16/8/2018,jamie,5,5,y
E5,11,16/8/2018,jamie,6,4,y
E5,12,16/8/2018,jamie,1,3,n
E5,13,16/8/2018,jamie,13,6,y
E5,14,16/8/2018,jamie,3,1,n
E5,15,16/8/2018,jamie,4,0,n
E5,16,16/8/2018,jamie,1,0,n
E5,17,16/8/2018,jamie,6,4,y
E5,18,16/8/2018,jamie,3,2,n
E5,19,16/8/2018,jamie,3,3,n
E5,20,16/8/2018,jamie,7,2,n
E5,21,16/8/2018,jamie,5,4,y
E5,22,16/8/2018,jamie,2,0,n
E5,23,16/8/2018,jamie,5,5,y
E5,24,16/8/2018,jamie,5,0,n
E5,25,16/8/2018,jamie,5,3,y
E5,26,16/8/2018,jamie,4,1,n
E5,27,16/8/2018,jamie,1,1,y
E5,28,16/8/2018,jamie,9,2,n
E5,29,16/8/2018,jamie,4,2,n
E5,30,16/8/2018,jamie,4,4,y
E5,31,16/8/2018,jamie,5,3,y
E5,32,16/8/2018,jamie,6,2,n
E5,33,16/8/2018,jamie,10,5,y
E5,34,16/8/2018,jamie,6,4,y
E5,35,16/8/2018,jamie,7,3,n
E5,36,16/8/2018,jamie,5,3,y
E5,37,16/8/2018,jamie,7,0,n
E5,38,16/8/2018,jamie,7,2,n
E5,39,16/8/2018,jamie,3,3,y
E5,40,16/8/2018,jamie,7,2,y
E5,41,16/8/2018,jamie,6,2,n
E5,42,16/8/2018,jamie,6,1,y
E5,43,16/8/2018,jamie,4,0,n
E5,44,16/8/2018,jamie,4,3,y
E5,45,16/8/2018,jamie,6,4,y
E5,46,16/8/2018,jamie,9,4,n
E5,47,16/8/2018,jamie,5,3,n
E5,48,16/8/2018,jamie,6,4,y
E5,49,16/8/2018,jamie,5,2,n
E5,50,16/8/2018,jamie,5,2,y
E5,51,16/8/2018,jamie,7,5,y
E5,52,16/8/2018,jamie,6,0,n
E5,53,16/8/2018,jamie,missing,,
E5,54,16/8/2018,jamie,5,2,y
E5,55,16/8/2018,jamie,3,0,n
E5,56,16/8/2018,jamie,6,4,n
E5,57,16/8/2018,jamie,6,0,n
E5,58,16/8/2018,jamie,2,2,y
E5,59,16/8/2018,jamie,5,3,y
E5,60,16/8/2018,jamie,6,3,y
E5,61,16/8/2018,jamie,6,4,n
E5,62,16/8/2018,jamie,3,3,y
E5,63,16/8/2018,jamie,4,2,n
E5,64,16/8/2018,jamie,10,6,y
E5,65,16/8/2018,jamie,6,2,n
E5,66,16/8/2018,jamie,3,1,n
E5,67,16/8/2018,jamie,2,1,y
E5,68,16/8/2018,jamie,3,2,y
E5,69,16/8/2018,jamie,5,0,n
E5,70,16/8/2018,jamie,4,2,y
E5,71,16/8/2018,jamie,3,3,y
E5,72,16/8/2018,jamie,4,0,n
E5,73,16/8/2018,jamie,8,3,n
E5,74,16/8/2018,jamie,2,0,n
