Block,Pos,Weight,Measured_by,Date,Entered_by,Missing,,
E1,167,29.97,df,2020-06-28,DF,0,,
E1,168,40.3,df,2020-06-29,DF,0,,
E1,169,31.28,df,2020-06-30,DF,0,,
E1,170,34.45,df,2020-07-01,DF,0,,
E1,171,28.24,df,2020-07-02,DF,0,,
E1,172,35.39,df,2020-07-03,DF,0,,
E1,173,40.77,df,2020-07-04,DF,0,,
E1,174,28.77,df,2020-07-05,DF,0,,
E1,175,31.9,df,2020-07-06,DF,0,,
E1,176,37.31,df,2020-07-07,DF,0,,
E1,177,36.22,df,2020-07-08,DF,0,,
E1,178,34.94,df,2020-07-09,DF,0,,
E1,179,29.74,df,2020-07-10,DF,0,,
E1,180,32.25,df,2020-07-11,DF,0,,
E1,181,29.45,df,2020-07-12,DF,0,,
E1,182,29.52,df,2020-07-13,DF,0,,
E1,183,38.61,df,2020-07-14,DF,0,,
E1,184,30.29,df,2020-07-15,DF,0,,
E1,185,34.68,df,2020-07-16,DF,0,,
E1,186,30.94,df,2020-07-17,DF,0,,
E1,187,31.17,df,2020-07-18,DF,0,,
E1,188,40.64,df,2020-07-19,DF,0,,
E1,189,30.09,df,2020-07-20,DF,0,,
E1,190,32.16,df,2020-07-21,DF,0,,
E1,191,30.1,df,2020-07-22,DF,0,,
E1,192,30.65,df,2020-07-23,DF,0,,
E1,193,42.44,df,2020-07-24,DF,0,,
E1,194,29.46,df,2020-07-25,DF,0,,
E1,195,33.29,df,2020-07-26,DF,0,,
E1,196,35.41,df,2020-07-27,DF,0,,
E1,197,30.34,df,2020-07-28,DF,0,,
E1,198,43.76,df,2020-07-29,DF,0,,
E1,199,31.75,df,2020-07-30,DF,0,,
E1,200,46.29,df,2020-07-31,DF,0,,
e10,1,30.15,df,jan 10th 2020,DF,0,,
e10,2,35.8,df,jan 10th 2020,DF,0,,
e10,3,30.3,df,jan 10th 2020,DF,0,,
e10,4,31.64,df,jan 10th 2020,DF,0,,
e10,5,30.45,df,jan 10th 2020,DF,0,,
e10,6,36.68,df,jan 10th 2020,DF,0,,
e10,7,33.4,df,jan 10th 2020,DF,0,,
e10,8,28.32,df,jan 10th 2020,DF,0,,
e10,9,30.42,df,jan 10th 2020,DF,0,,
e10,10,30.84,df,jan 10th 2020,DF,0,,
e10,11,33.74,df,jan 10th 2020,DF,0,,
e10,12,29.99,df,jan 10th 2020,DF,0,,
e10,13,31.71,df,jan 10th 2020,DF,0,,
