date,measurer,block,pos,veg,bud,flw,frt,abt,mer,sec,new,notes,,
2019-05-22,Claire,E1,163,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,164,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,165,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,166,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,167,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,168,13.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,169,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,170,17.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,171,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,172,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,173,11.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,174,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,175,8.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,176,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,177,24,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,178,18.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,179,7,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,180,12.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,181,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,182,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,183,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,184,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,185,11.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,186,10.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,187,14.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,188,21.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,189,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,190,12.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,191,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,192,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,193,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,194,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,195,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,196,11.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,197,21,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,198,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,199,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,200,22.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,1,20.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,2,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,3,27,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,4,18,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,5,9,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,6,23.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,7,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,8,27,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,9,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,10,20,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,11,9.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,12,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,13,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,14,9,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,15,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,16,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,17,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,18,9,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,19,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,20,12.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,21,20,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,22,6.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,23,18,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,24,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,25,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,26,6.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,27,7,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,28,12.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,29,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,30,8.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,31,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,32,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,33,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,34,15.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,35,13.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,36,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,37,5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,38,21,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,39,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,40,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,41,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,42,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,43,20,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,44,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,45,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,46,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,47,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,48,11.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,49,7,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,50,21,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,51,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,52,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,53,18.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,54,20.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,55,26.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,56,3,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,57,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,58,23.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,59,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,60,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,61,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,62,14.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,63,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,64,6.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,65,10.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,66,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,67,6,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,68,11.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,69,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,70,7,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,71,9,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,72,7,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,73,16.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,74,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,75,13.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,76,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,77,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,78,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,79,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,80,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,81,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,82,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,83,20,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,84,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,85,9,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,86,20,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,87,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,88,9,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,89,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,90,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,91,21,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,92,21.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,93,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,94,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,95,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,96,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,97,18.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,98,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,99,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,100,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,101,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,102,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,103,19.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,104,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,105,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,106,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,107,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,108,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,109,26.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,110,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,111,16.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,112,5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,113,18,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,114,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,115,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,116,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,117,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,118,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,119,7,NA,NA,NA,NA,0,0,0,,,
